# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:14

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-28.842871295541116
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),208.22 - 1934.11
平均频率 (Hz),987.96
频率标准差 (Hz),568.78
声压级范围 (dB SPL),-28.3 - -18.8
平均声压级 (dB SPL),-24.8
声压级标准差 (dB SPL),3.2
主导峰值频率 (Hz),255.44
主导峰值声压级 (dB SPL),-18.8

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,208.222,-20.42,58.35,1874
2,255.444,-18.82,76.13,2299
3,379.000,-20.24,55.43,3411
4,440.222,-22.25,49.47,3962
5,551.444,-25.19,49.84,4963
6,741.222,-22.89,59.66,6671
7,821.778,-25.81,50.03,7396
8,892.000,-27.28,47.41,8028
9,960.333,-22.58,61.22,8643
10,1062.333,-26.92,45.99,9561
11,1342.444,-28.33,52.32,12082
12,1677.778,-28.24,48.62,15100
13,1741.444,-27.78,59.92,15673
14,1811.556,-27.99,45.52,16304
15,1934.111,-27.99,46.75,17407
