# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 14:42:13

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.17380833235532
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),161.78 - 1923.00
平均频率 (Hz),812.06
频率标准差 (Hz),572.67
声压级范围 (dB SPL),-29.1 - -19.0
平均声压级 (dB SPL),-24.8
声压级标准差 (dB SPL),3.3
主导峰值频率 (Hz),208.67
主导峰值声压级 (dB SPL),-19.0

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,161.778,-24.26,40.94,1456
2,208.667,-18.97,68.60,1878
3,250.444,-19.37,66.66,2254
4,377.444,-19.52,51.76,3397
5,419.333,-25.43,42.59,3774
6,441.111,-21.84,58.21,3970
7,552.111,-26.51,45.09,4969
8,697.444,-25.23,44.94,6277
9,741.778,-24.69,54.14,6676
10,812.444,-28.88,45.72,7312
11,955.556,-25.34,53.48,8600
12,1064.111,-28.06,47.69,9577
13,1669.667,-29.06,48.89,15027
14,1906.000,-27.03,54.56,17154
15,1923.000,-27.43,41.82,17307
