# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:15

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-28.888437995042224
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),118.33 - 1922.56
平均频率 (Hz),775.27
频率标准差 (Hz),539.54
声压级范围 (dB SPL),-28.2 - -17.3
平均声压级 (dB SPL),-24.3
声压级标准差 (dB SPL),3.7
主导峰值频率 (Hz),376.56
主导峰值声压级 (dB SPL),-17.3

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,118.333,-27.49,47.98,1065
2,201.222,-18.45,63.55,1811
3,251.333,-17.45,56.09,2262
4,349.222,-23.39,49.53,3143
5,376.556,-17.25,66.11,3389
6,435.778,-22.05,46.87,3922
7,552.444,-25.03,50.43,4972
8,696.444,-26.84,50.05,6268
9,739.778,-23.78,56.67,6658
10,818.778,-26.92,43.21,7369
11,961.667,-24.53,56.56,8655
12,1057.222,-27.84,54.48,9515
13,1339.333,-28.06,54.87,12054
14,1808.444,-28.21,56.38,16276
15,1922.556,-26.84,59.23,17303
