# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:21

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-26.90676951952397
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),172.00 - 1960.62
平均频率 (Hz),876.38
频率标准差 (Hz),538.87
声压级范围 (dB SPL),-26.6 - -16.7
平均声压级 (dB SPL),-22.7
声压级标准差 (dB SPL),3.3
主导峰值频率 (Hz),247.75
主导峰值声压级 (dB SPL),-16.7

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,172.000,-18.52,48.84,1376
2,247.750,-16.68,72.75,1982
3,311.250,-20.37,43.38,2490
4,389.125,-25.03,40.88,3113
5,403.375,-22.17,41.65,3227
6,538.000,-17.48,52.81,4304
7,643.125,-19.04,45.70,5145
8,872.375,-26.48,46.14,6979
9,926.875,-25.14,49.00,7415
10,1127.125,-23.46,58.80,9017
11,1158.500,-23.62,44.09,9268
12,1267.250,-26.11,49.67,10138
13,1345.500,-26.57,44.15,10764
14,1782.750,-24.80,61.43,14262
15,1960.625,-25.27,42.76,15685
