# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:21

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-26.762611999665225
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),248.25 - 1959.00
平均频率 (Hz),959.95
频率标准差 (Hz),549.67
声压级范围 (dB SPL),-26.6 - -18.1
平均声压级 (dB SPL),-23.6
声压级标准差 (dB SPL),2.5
主导峰值频率 (Hz),248.25
主导峰值声压级 (dB SPL),-18.1

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,248.250,-18.07,80.78,1986
2,354.500,-21.27,43.46,2836
3,378.000,-26.52,44.64,3024
4,404.500,-22.36,48.59,3236
5,538.375,-20.62,61.18,4307
6,597.875,-22.04,50.12,4783
7,806.250,-26.52,45.15,6450
8,873.375,-26.00,50.79,6987
9,918.250,-24.19,55.70,7346
10,1116.625,-22.64,59.72,8933
11,1267.375,-25.31,43.44,10139
12,1340.750,-24.79,49.10,10726
13,1758.750,-26.63,48.47,14070
14,1837.375,-25.00,53.89,14699
15,1959.000,-21.45,64.75,15672
