# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 14:42:20

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-26.588618478275848
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),116.75 - 1962.00
平均频率 (Hz),979.08
频率标准差 (Hz),630.05
声压级范围 (dB SPL),-26.2 - -18.4
平均声压级 (dB SPL),-23.3
声压级标准差 (dB SPL),2.6
主导峰值频率 (Hz),279.25
主导峰值声压级 (dB SPL),-18.4

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,116.750,-25.63,45.80,934
2,169.375,-20.01,51.85,1355
3,279.250,-18.43,73.91,2234
4,403.875,-19.86,46.50,3231
5,537.875,-19.41,52.33,4303
6,640.625,-21.92,51.09,5125
7,698.500,-26.15,43.66,5588
8,871.500,-24.97,48.85,6972
9,927.250,-25.35,48.79,7418
10,1265.750,-24.34,53.38,10126
11,1336.375,-25.00,49.87,10691
12,1779.875,-25.49,46.72,14239
13,1808.875,-25.92,43.62,14471
14,1888.250,-24.30,48.40,15106
15,1962.000,-22.81,60.53,15696
