# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 20:13:30

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-30.933809701928922
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),144.22 - 1948.22
平均频率 (Hz),978.05
频率标准差 (Hz),584.66
声压级范围 (dB SPL),-30.9 - -18.1
平均声压级 (dB SPL),-27.3
声压级标准差 (dB SPL),3.0
主导峰值频率 (Hz),271.22
主导峰值声压级 (dB SPL),-18.1

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,144.222,-26.90,42.69,1298
2,271.222,-18.09,69.08,2441
3,373.667,-25.91,48.21,3363
4,396.444,-27.35,45.02,3568
5,549.667,-30.58,42.13,4947
6,569.889,-26.50,56.00,5129
7,813.556,-30.90,49.90,7322
8,835.333,-26.28,62.95,7518
9,1098.000,-29.39,47.74,9882
10,1232.778,-27.15,61.01,11095
11,1278.889,-28.66,41.18,11510
12,1507.444,-28.38,52.13,13567
13,1786.556,-28.18,54.41,16079
14,1864.889,-30.58,44.84,16784
15,1948.222,-25.12,69.98,17534
