# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:18

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.42103266992969
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),167.88 - 1989.38
平均频率 (Hz),975.86
频率标准差 (Hz),576.72
声压级范围 (dB SPL),-29.0 - -18.0
平均声压级 (dB SPL),-25.0
声压级标准差 (dB SPL),3.4
主导峰值频率 (Hz),167.88
主导峰值声压级 (dB SPL),-18.0

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,167.875,-18.00,69.92,1343
2,255.875,-19.53,57.36,2047
3,335.625,-21.75,49.93,2685
4,412.875,-24.27,44.15,3303
5,527.250,-28.23,44.96,4218
6,650.750,-22.17,51.26,5206
7,803.125,-29.03,45.32,6425
8,954.875,-28.93,45.84,7639
9,1043.625,-23.94,55.73,8349
10,1179.875,-27.96,54.47,9439
11,1302.250,-26.19,57.16,10418
12,1394.125,-27.79,53.17,11153
13,1752.000,-28.54,50.58,14016
14,1868.375,-25.07,47.06,14947
15,1989.375,-22.91,75.03,15915
