# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:19

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.393881465033743
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),167.50 - 1983.75
平均频率 (Hz),1120.06
频率标准差 (Hz),565.19
声压级范围 (dB SPL),-29.4 - -19.5
平均声压级 (dB SPL),-25.6
声压级标准差 (dB SPL),3.1
主导峰值频率 (Hz),167.50
主导峰值声压级 (dB SPL),-19.5

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,167.500,-19.51,54.58,1340
2,303.625,-20.62,46.65,2429
3,528.125,-26.89,43.29,4225
4,649.125,-21.87,52.12,5193
5,712.250,-22.69,43.81,5698
6,953.500,-27.67,42.45,7628
7,1042.500,-26.83,54.00,8340
8,1059.750,-27.96,42.33,8478
9,1176.000,-29.38,47.43,9408
10,1290.625,-28.87,54.35,10325
11,1399.125,-25.69,55.98,11193
12,1769.125,-27.15,48.19,14153
13,1867.500,-25.87,50.16,14940
14,1898.375,-29.07,41.79,15187
15,1983.750,-23.77,61.75,15870
