# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 14:42:18

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.276810439848784
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),158.88 - 1986.62
平均频率 (Hz),1014.51
频率标准差 (Hz),610.59
声压级范围 (dB SPL),-29.2 - -19.0
平均声压级 (dB SPL),-25.1
声压级标准差 (dB SPL),3.2
主导峰值频率 (Hz),158.88
主导峰值声压级 (dB SPL),-19.0

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,158.875,-19.04,72.47,1271
2,322.375,-20.71,50.63,2579
3,399.500,-26.05,43.75,3196
4,416.750,-21.23,54.01,3334
5,526.000,-26.82,47.35,4208
6,651.375,-21.95,45.47,5211
7,707.750,-21.58,57.71,5662
8,861.125,-28.54,52.96,6889
9,1051.375,-25.29,61.14,8411
10,1293.000,-29.18,42.64,10344
11,1348.750,-27.37,53.75,10790
12,1716.125,-28.54,53.51,13729
13,1881.750,-25.34,61.55,15054
14,1896.250,-27.92,64.00,15170
15,1986.625,-27.30,73.00,15893
