# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 14:42:11

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.66835505794427
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),256.22 - 1934.67
平均频率 (Hz),1078.17
频率标准差 (Hz),536.44
声压级范围 (dB SPL),-29.5 - -20.6
平均声压级 (dB SPL),-26.5
声压级标准差 (dB SPL),2.4
主导峰值频率 (Hz),256.22
主导峰值声压级 (dB SPL),-20.6

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,256.222,-20.59,66.63,2306
2,334.333,-22.23,48.59,3009
3,523.000,-26.25,47.98,4707
4,604.667,-24.14,50.95,5442
5,704.778,-27.60,52.60,6343
6,904.667,-28.92,50.20,8142
7,930.556,-29.52,47.02,8375
8,996.889,-28.79,51.26,8972
9,1088.444,-27.56,54.91,9796
10,1134.000,-28.48,46.39,10206
11,1427.000,-27.03,60.63,12843
12,1649.111,-26.02,61.92,14842
13,1788.778,-27.16,47.89,16099
14,1895.444,-27.32,45.50,17059
15,1934.667,-26.16,51.45,17412
