# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:13

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-29.761257650810524
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),144.44 - 1936.89
平均频率 (Hz),986.06
频率标准差 (Hz),619.14
声压级范围 (dB SPL),-29.0 - -21.2
平均声压级 (dB SPL),-26.3
声压级标准差 (dB SPL),2.1
主导峰值频率 (Hz),249.78
主导峰值声压级 (dB SPL),-21.2

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,144.444,-22.49,46.17,1300
2,249.778,-21.16,64.67,2248
3,298.667,-26.76,45.77,2688
4,335.889,-24.94,53.05,3023
5,522.667,-25.95,51.32,4704
6,606.444,-25.81,62.60,5458
7,638.778,-27.37,55.73,5749
8,902.556,-27.79,58.29,8123
9,1076.000,-25.90,61.07,9684
10,1330.667,-27.20,54.97,11976
11,1424.111,-28.40,51.33,12817
12,1651.222,-28.97,54.36,14861
13,1779.444,-26.34,64.63,16015
14,1893.333,-27.97,45.66,17040
15,1936.889,-27.35,51.92,17432
