# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:17

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-27.004115212145134
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),255.12 - 1968.75
平均频率 (Hz),924.62
频率标准差 (Hz),545.08
声压级范围 (dB SPL),-26.9 - -14.8
平均声压级 (dB SPL),-23.5
声压级标准差 (dB SPL),3.2
主导峰值频率 (Hz),255.12
主导峰值声压级 (dB SPL),-14.8

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,255.125,-14.82,66.48,2041
2,316.875,-19.31,42.11,2535
3,404.000,-21.59,54.58,3232
4,529.000,-21.78,40.23,4232
5,580.875,-21.79,38.15,4647
6,623.875,-26.85,40.11,4991
7,674.875,-25.93,42.64,5399
8,700.375,-26.26,39.44,5603
9,743.500,-22.77,54.59,5948
10,960.750,-23.47,54.81,7686
11,1222.250,-26.29,49.79,9778
12,1278.250,-25.30,50.81,10226
13,1785.500,-24.89,40.96,14284
14,1825.250,-24.11,57.48,14602
15,1968.750,-26.61,38.53,15750
