# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:16

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-26.942443335043855
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),255.75 - 1808.00
平均频率 (Hz),763.87
频率标准差 (Hz),437.60
声压级范围 (dB SPL),-26.9 - -15.4
平均声压级 (dB SPL),-23.0
声压级标准差 (dB SPL),3.6
主导峰值频率 (Hz),255.75
主导峰值声压级 (dB SPL),-15.4

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,255.750,-15.37,74.56,2046
2,268.750,-18.35,46.11,2150
3,313.750,-20.40,47.53,2510
4,376.750,-21.71,46.59,3014
5,403.250,-19.87,42.45,3226
6,432.500,-18.59,53.16,3460
7,673.625,-25.44,46.74,5389
8,695.875,-26.86,43.90,5567
9,780.875,-25.29,48.02,6247
10,848.125,-26.31,53.55,6785
11,962.125,-26.34,50.74,7697
12,1102.750,-26.30,52.67,8822
13,1223.000,-26.88,40.73,9784
14,1312.875,-24.74,56.40,10503
15,1808.000,-23.24,61.19,14464
