# 共振峰分析结果
# 文件名,record1.wav
# 分析时间,2025-09-06 14:42:16

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-26.714370699476838
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),256.38 - 1916.25
平均频率 (Hz),964.41
频率标准差 (Hz),586.19
声压级范围 (dB SPL),-26.0 - -14.0
平均声压级 (dB SPL),-22.9
声压级标准差 (dB SPL),3.2
主导峰值频率 (Hz),256.38
主导峰值声压级 (dB SPL),-14.0

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,256.375,-14.02,66.60,2051
2,315.125,-18.09,47.95,2521
3,379.500,-21.63,43.25,3036
4,431.875,-23.16,40.07,3455
5,564.500,-20.73,48.91,4516
6,610.500,-25.95,44.16,4884
7,699.875,-23.58,42.21,5599
8,749.375,-23.29,60.38,5995
9,852.875,-25.95,50.90,6823
10,956.000,-25.82,56.11,7648
11,1282.625,-23.69,58.26,10261
12,1779.125,-25.69,42.78,14233
13,1811.500,-22.90,41.08,14492
14,1860.625,-22.61,64.33,14885
15,1916.250,-26.02,46.38,15330
