# 共振峰分析结果
# 文件名,record3.wav
# 分析时间,2025-09-06 14:42:10

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-30.712871876858898
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),268.78 - 1948.44
平均频率 (Hz),990.49
频率标准差 (Hz),551.62
声压级范围 (dB SPL),-30.5 - -19.1
平均声压级 (dB SPL),-26.9
声压级标准差 (dB SPL),3.4
主导峰值频率 (Hz),283.00
主导峰值声压级 (dB SPL),-19.1

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,268.778,-19.41,45.48,2419
2,283.000,-19.08,77.45,2547
3,434.556,-27.93,50.03,3911
4,535.222,-29.26,49.40,4817
5,571.778,-25.94,56.98,5146
6,668.222,-28.66,47.00,6014
7,808.778,-29.23,44.56,7279
8,834.444,-27.78,48.89,7510
9,986.222,-30.55,49.99,8876
10,1098.111,-26.47,57.17,9883
11,1239.444,-28.77,50.67,11155
12,1513.556,-26.34,60.48,13622
13,1787.444,-29.60,45.99,16087
14,1879.333,-29.50,53.66,16914
15,1948.444,-24.85,66.80,17536
