# 共振峰分析结果
# 文件名,record2.wav
# 分析时间,2025-09-06 14:42:10

# 检测参数
最小突出度 (dB),6.0
最小频率间隔 (Hz),10.0
最小高度 (dB SPL),-30.67853688964589
最大峰值数,15

# 统计信息
检测到的峰值总数,15
频率范围 (Hz),143.78 - 1949.56
平均频率 (Hz),817.37
频率标准差 (Hz),589.24
声压级范围 (dB SPL),-30.3 - -16.5
平均声压级 (dB SPL),-26.7
声压级标准差 (dB SPL),3.5
主导峰值频率 (Hz),274.33
主导峰值声压级 (dB SPL),-16.5

# 共振峰详细数据
排名,中心频率 (Hz),峰值声压级 (dB SPL),突出度 (dB),频率索引
1,143.778,-27.50,39.60,1294
2,165.667,-26.15,40.17,1491
3,274.333,-16.51,66.87,2469
4,317.333,-22.89,47.03,2856
5,355.667,-23.72,46.22,3201
6,434.222,-30.32,44.47,3908
7,453.667,-29.64,46.33,4083
8,571.111,-26.13,53.48,5140
9,831.333,-30.20,46.22,7482
10,881.333,-30.01,54.83,7932
11,1239.444,-28.48,39.79,11155
12,1283.111,-26.37,61.34,11548
13,1503.556,-28.15,63.02,13532
14,1856.444,-29.25,42.73,16708
15,1949.556,-25.62,68.65,17546
