property,value
directory,S1R3
filename,record3.wav
file_path,data/S1R3/record3.wav
sample_rate,48000
duration_seconds,9.0
channels,1
bit_depth,32
total_samples,432000
file_size_bytes,1728512
file_size_kb,1688.0
analysis_timestamp,2025-09-06T11:13:25.070929
